dateRep,cases,countriesAndTerritories,cNum
29/08/2020,7,Georgia,3.90315961
30/08/2020,0,Georgia,3.5278558
31/08/2020,25,Georgia,3.65295707
1/9/2020,0,Georgia,3.40275453
2/9/2020,23,Georgia,3.72801783
3/9/2020,38,Georgia,4.67878748
4/9/2020,20,Georgia,4.95401027
5/9/2020,28,Georgia,5.27927357
6/9/2020,25,Georgia,5.67959763
7/9/2020,19,Georgia,5.72963814
8/9/2020,44,Georgia,6.58032677
9/9/2020,89,Georgia,8.43182556
10/9/2020,57,Georgia,9.58275724
11/9/2020,87,Georgia,11.5593573
12/9/2020,158,Georgia,15.33741564
13/09/2020,0,Georgia,15.33741564
14/09/2020,317,Georgia,22.64332978
15/09/2020,0,Georgia,22.64332978
16/09/2020,366,Georgia,31.22527686
17/09/2020,179,Georgia,34.75313266
18/09/2020,182,Georgia,38.80641379
19/09/2020,187,Georgia,42.78463416
20/09/2020,196,Georgia,47.06309758
21/09/2020,193,Georgia,51.41662176
22/09/2020,218,Georgia,55.77014593
23/09/2020,227,Georgia,59.22294097
24/09/2020,259,Georgia,64.27703226
25/09/2020,0,Georgia,62.10027017
26/09/2020,265,Georgia,64.77743734
27/09/2020,590,Georgia,79.53938713
28/09/2020,298,Georgia,79.06400231
29/09/2020,314,Georgia,86.92036203
30/09/2020,0,Georgia,77.76294911
1/10/2020,774,Georgia,92.65000018
2/10/2020,453,Georgia,99.43048898
3/10/2020,471,Georgia,106.5362411
4/10/2020,554,Georgia,115.493492
5/10/2020,0,Georgia,110.664583
6/10/2020,578,Georgia,119.6718744
7/10/2020,549,Georgia,127.7283961
8/10/2020,508,Georgia,133.9584394
9/10/2020,472,Georgia,145.7679992
10/10/2020,527,Georgia,152.3233057
11/10/2020,519,Georgia,150.5468677
12/10/2020,523,Georgia,156.1764248
13/10/2020,478,Georgia,160.2797465
14/10/2020,569,Georgia,174.5162709
15/10/2020,680,Georgia,172.1643671
16/10/2020,919,Georgia,183.8238054
17/10/2020,887,Georgia,194.232231
18/10/2020,958,Georgia,204.3404136
19/10/2020,1192,Georgia,234.1645562
20/10/2020,1186,Georgia,249.3768706
21/10/2020,1194,Georgia,265.5149343
22/10/2020,1351,Georgia,286.6070084
23/10/2020,1595,Georgia,314.7047535
24/10/2020,1759,Georgia,345.5297063
25/10/2020,3869,Georgia,429.3475569
26/10/2020,1872,Georgia,463.0998794
27/10/2020,1824,Georgia,496.7771411
28/10/2020,1731,Georgia,525.8506761
29/10/2020,1709,Georgia,551.5965174
30/10/2020,1696,Georgia,571.0372547
31/10/2020,1673,Georgia,590.7031742
1/11/2020,1791,Georgia,611.5450457
2/11/2020,1852,Georgia,628.0584133
3/11/2020,1943,Georgia,646.9987455
4/11/2020,2295,Georgia,674.546045
5/11/2020,2401,Georgia,700.8173116
6/11/2020,2775,Georgia,730.3412112
7/11/2020,2859,Georgia,757.8634905
8/11/2020,2901,Georgia,733.6438847
9/11/2020,2927,Georgia,760.0402526
10/11/2020,2970,Georgia,788.7134636
11/11/2020,2911,Georgia,818.2373632
12/11/2020,3120,Georgia,853.5409414
13/11/2020,3473,Georgia,898.0019326
14/11/2020,3504,Georgia,943.8140175
15/11/2020,3020,Georgia,974.5639095
16/11/2020,3157,Georgia,1007.215341
17/11/2020,2757,Georgia,1027.581827
18/11/2020,360,Georgia,979.1676362
19/11/2020,3443,Georgia,1005.238741
20/11/2020,3697,Georgia,1028.307415
21/11/2020,7592,Georgia,1146.728277
22/11/2020,4048,Georgia,1175.426508
23/11/2020,3958,Georgia,1201.22239
24/11/2020,3128,Georgia,1205.17559
25/11/2020,3071,Georgia,1209.17883
26/11/2020,3801,Georgia,1226.217623
27/11/2020,4780,Georgia,1258.919095
28/11/2020,4472,Georgia,1283.138701
29/11/2020,4426,Georgia,1318.317178
30/11/2020,3216,Georgia,1319.793373
1/12/2020,3759,Georgia,1344.863667
2/12/2020,4033,Georgia,1436.76306
3/12/2020,4260,Georgia,1457.204607
4/12/2020,5068,Georgia,1491.507375
5/12/2020,5450,Georgia,1437.913991
6/12/2020,4321,Georgia,1444.744521
7/12/2020,2501,Georgia,1408.290011
8/12/2020,4673,Georgia,1446.946303
9/12/2020,4734,Georgia,1488.554985
10/12/2020,4570,Georgia,1507.795561
11/12/2020,4146,Georgia,1491.93272
12/12/2020,3907,Georgia,1477.796276
13/12/2020,2720,Georgia,1435.111723
14/12/2020,1337,Georgia,1388.098666
31/12/2019,0,Germany,
1/1/2020,0,Germany,
2/1/2020,0,Germany,
3/1/2020,0,Germany,
4/1/2020,0,Germany,
5/1/2020,0,Germany,
6/1/2020,0,Germany,
7/1/2020,0,Germany,
8/1/2020,0,Germany,
9/1/2020,0,Germany,
10/1/2020,0,Germany,
11/1/2020,0,Germany,
12/1/2020,0,Germany,
13/01/2020,0,Germany,0
14/01/2020,0,Germany,0
15/01/2020,0,Germany,0
16/01/2020,0,Germany,0
17/01/2020,0,Germany,0
18/01/2020,0,Germany,0
19/01/2020,0,Germany,0
20/01/2020,0,Germany,0
21/01/2020,0,Germany,0
22/01/2020,0,Germany,0
23/01/2020,0,Germany,0
24/01/2020,0,Germany,0
25/01/2020,0,Germany,0
26/01/2020,0,Germany,0
27/01/2020,0,Germany,0
28/01/2020,1,Germany,0.00120454
29/01/2020,3,Germany,0.00481816
30/01/2020,0,Germany,0.00481816
31/01/2020,1,Germany,0.0060227
1/2/2020,2,Germany,0.00843178
2/2/2020,1,Germany,0.00963632
3/2/2020,1,Germany,0.01084086
4/2/2020,2,Germany,0.01324994
5/2/2020,0,Germany,0.01324994
6/2/2020,0,Germany,0.01324994
7/2/2020,1,Germany,0.01445449
8/2/2020,1,Germany,0.01565903
9/2/2020,0,Germany,0.01565903
10/2/2020,0,Germany,0.01565903
11/2/2020,0,Germany,0.01445449
12/2/2020,2,Germany,0.01324994
13/02/2020,0,Germany,0.01324994
14/02/2020,0,Germany,0.0120454
15/02/2020,0,Germany,0.00963632
16/02/2020,0,Germany,0.00843178
17/02/2020,0,Germany,0.00722724
18/02/2020,0,Germany,0.00481816
19/02/2020,0,Germany,0.00481816
20/02/2020,0,Germany,0.00481816
21/02/2020,0,Germany,0.00361362
22/02/2020,0,Germany,0.00240908
23/02/2020,0,Germany,0.00240908
24/02/2020,0,Germany,0.00240908
25/02/2020,0,Germany,0.00240908
26/02/2020,2,Germany,0.00240908
27/02/2020,4,Germany,0.00722724
28/02/2020,26,Germany,0.03854529
29/02/2020,10,Germany,0.0505907
1/3/2020,54,Germany,0.11563588
2/3/2020,18,Germany,0.13731761
3/3/2020,28,Germany,0.17104474
4/3/2020,39,Germany,0.21802182
5/3/2020,66,Germany,0.29752149
6/3/2020,138,Germany,0.46374807
7/3/2020,284,Germany,0.80583756
8/3/2020,163,Germany,1.00217765
9/3/2020,55,Germany,1.06842738
10/3/2020,237,Germany,1.35390346
11/3/2020,157,Germany,1.54060723
12/3/2020,271,Germany,1.86221953
13/03/2020,802,Germany,2.79694292
14/03/2020,693,Germany,3.61964405
15/03/2020,733,Germany,4.43752701
16/03/2020,1043,Germany,5.67218097
17/03/2020,1174,Germany,7.05258432
18/03/2020,1144,Germany,8.38360152
19/03/2020,1042,Germany,9.55923299
20/03/2020,5940,Germany,16.54797667
21/03/2020,4049,Germany,21.08307146
22/03/2020,3276,Germany,24.83280587
23/03/2020,3311,Germany,28.75478957
24/03/2020,4438,Germany,33.81506399
25/03/2020,2342,Germany,36.44698487
26/03/2020,4954,Germany,42.08784779
27/03/2020,5780,Germany,48.08405013
28/03/2020,6294,Germany,54.83068118
29/03/2020,3965,Germany,58.72375591
30/03/2020,4751,Germany,63.19019189
31/03/2020,4615,Germany,67.33501557
1/4/2020,5453,Germany,72.52538036
2/4/2020,6156,Germany,78.68540021
3/4/2020,6174,Germany,78.96726267
4/4/2020,6082,Germany,81.4160934
5/4/2020,5936,Germany,84.620171
6/4/2020,3677,Germany,85.0610328
7/4/2020,3834,Germany,84.33349037
8/4/2020,4003,Germany,86.33423205
9/4/2020,4974,Germany,86.35832286
10/4/2020,5323,Germany,85.80784788
11/4/2020,4133,Germany,83.20483597
12/4/2020,2821,Germany,81.8268417
13/04/2020,2537,Germany,79.15998915
14/04/2020,2082,Germany,76.10888819
15/04/2020,2486,Germany,72.53501668
16/04/2020,2866,Germany,68.57207861
17/04/2020,3380,Germany,65.2065926
18/04/2020,3609,Germany,62.22776407
19/04/2020,2458,Germany,58.03837239
20/04/2020,1775,Germany,55.74733646
21/04/2020,1785,Germany,53.27923309
22/04/2020,2237,Germany,51.15201465
23/04/2020,2352,Germany,47.9937096
24/04/2020,2337,Germany,44.39695182
25/04/2020,2055,Germany,41.89391677
26/04/2020,1737,Germany,40.58819493
27/04/2020,1018,Germany,38.75849799
28/04/2020,1144,Germany,37.62863905
